doc_id,tech_id,category,title,publisher,url,snippet
D001,T01,AI/ML Predictive Maintenance,Explainable machine-learning tools for predictive maintenance of circulating water systems in nuclear power plants,ScienceDirect / Nuclear Engineering and Technology,https://www.sciencedirect.com/science/article/pii/S1738573325001561,"Explainable ML tools applied to predictive maintenance of circulating water systems in nuclear power plants, addressing the explainability gap that limits adoption."
D002,T01,AI/ML Predictive Maintenance,Explainable machine-learning tools for predictive maintenance of circulating water systems in nuclear power plants,OSTI.GOV (DOE),https://www.osti.gov/pages/biblio/2567518,"DOE OSTI record of the same explainable-ML predictive maintenance study, indexed as a journal article."
D003,T01,AI/ML Predictive Maintenance,Nuclear Predictive Maintenance: AI & Machine Learning for Reactor Equipment,Oxmaint,https://oxmaint.com/industries/power-plant/nuclear-predictive-maintenance-ai-ml-reactor-equipment,"Industry overview of AI/ML techniques (CNNs, RNNs, reinforcement learning) applied to equipment health prediction and failure-mode classification in nuclear plants."
D004,T01,AI/ML Predictive Maintenance,The use of Artificial Intelligence in the nuclear sector,Foro Nuclear,https://www.foronuclear.org/en/updates/in-depth/the-use-of-artificial-intelligence-in-the-nuclear-sector/,Sector overview noting AI adoption for predictive maintenance is still early-stage but shows strong cost-saving potential.
D005,T02,Robotic Inspection,A novel inspection robot for nuclear station steam generator secondary side with self-localization,Robotics and Biomimetics (Springer),https://jrobio.springeropen.com/articles/10.1186/s40638-017-0078-y,Climbing robot with onboard cameras and self-localization for inspecting steam generator secondary-side tubes without direct human access.
D006,T02,Robotic Inspection,"The SG-Climbot: An Adaptable, Efficient, Inspection and Repair Robot for Steam Generator Heat Transfer Tube Sheet",Journal of Field Robotics (Wiley),https://onlinelibrary.wiley.com/doi/10.1002/rob.22436,2025 paper on an adaptable robot for inspecting and repairing steam generator heat-transfer tube sheets.
D007,T02,Robotic Inspection,An Inspection Planning Method for Steam Generators with Triangular-Distributed Tubes,Springer Nature,https://link.springer.com/chapter/10.1007/978-3-031-13835-5_52,Task- and path-planning method for robots inspecting the thousands of tubes inside a steam generator.
D008,T02,Robotic Inspection,High-efficiency inspecting method for mobile robots based on task planning for heat transfer tubes in a steam generator,Frontiers of Mechanical Engineering (Springer),https://link.springer.com/article/10.1007/s11465-022-0741-z,Task-planning approach to improve efficiency of mobile robot inspection of steam generator heat-transfer tubes.
D009,T04,Digital Twins,A nuclear power plant digital twin for developing robot navigation and interaction,Frontiers in Energy Research,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2024.1356624/full,"Simulation-based digital twin environment built specifically to develop and test robot navigation/interaction in nuclear plants, since testing on physical plants is restricted for safety reasons."
D010,T04,Digital Twins,iFANnpp: Nuclear Power Plant Digital Twin for Robots and Autonomous Intelligence,arXiv,https://arxiv.org/pdf/2410.09213,Open digital-twin framework for nuclear power plants aimed at supporting robotics and autonomous-intelligence research.
