perturbed_criterion,perturbation,tech_id,technology_name,score,rank
market_growth_potential,minus20,T01,AI/ML for Predictive Maintenance,76.58,1
market_growth_potential,minus20,T02,Robotic Nuclear Inspection Systems,63.95,3
market_growth_potential,minus20,T03,Inspection & Survey Drones (UAV/UUV),63.01,4
market_growth_potential,minus20,T04,Digital Twins for Nuclear Plants,62.46,6
market_growth_potential,minus20,T05,VR/AR Workforce Training,47.94,9
market_growth_potential,minus20,T06,Additive Manufacturing (AM) for Nuclear Components,55.15,7
market_growth_potential,minus20,T07,Smart Materials & Advanced Sensor Coatings,38.17,12
market_growth_potential,minus20,T08,Advanced Sensor Technologies (Radiation & Structural),65.67,2
market_growth_potential,minus20,T09,Medical Isotope Production,48.54,8
market_growth_potential,minus20,T10,Nuclear Waste Management Technologies,32.5,14
market_growth_potential,minus20,T11,Decommissioning Technologies,46.92,10
market_growth_potential,minus20,T12,Small Modular Reactors (SMRs),62.84,5
market_growth_potential,minus20,T13,"Advanced Fission (Generation IV, non-SMR)",39.42,11
market_growth_potential,minus20,T14,Fusion Energy Technologies,33.73,13
market_growth_potential,plus20,T01,AI/ML for Predictive Maintenance,77.82,1
market_growth_potential,plus20,T02,Robotic Nuclear Inspection Systems,63.21,5
market_growth_potential,plus20,T03,Inspection & Survey Drones (UAV/UUV),62.32,6
market_growth_potential,plus20,T04,Digital Twins for Nuclear Plants,64.45,4
market_growth_potential,plus20,T05,VR/AR Workforce Training,45.39,10
market_growth_potential,plus20,T06,Additive Manufacturing (AM) for Nuclear Components,54.87,7
market_growth_potential,plus20,T07,Smart Materials & Advanced Sensor Coatings,36.14,12
market_growth_potential,plus20,T08,Advanced Sensor Technologies (Radiation & Structural),64.84,2
market_growth_potential,plus20,T09,Medical Isotope Production,48.62,8
market_growth_potential,plus20,T10,Nuclear Waste Management Technologies,30.78,14
market_growth_potential,plus20,T11,Decommissioning Technologies,47.09,9
market_growth_potential,plus20,T12,Small Modular Reactors (SMRs),64.81,3
market_growth_potential,plus20,T13,"Advanced Fission (Generation IV, non-SMR)",37.33,11
market_growth_potential,plus20,T14,Fusion Energy Technologies,34.6,13
strategic_fit,minus20,T01,AI/ML for Predictive Maintenance,76.39,1
strategic_fit,minus20,T02,Robotic Nuclear Inspection Systems,62.3,4
strategic_fit,minus20,T03,Inspection & Survey Drones (UAV/UUV),61.35,6
strategic_fit,minus20,T04,Digital Twins for Nuclear Plants,62.16,5
strategic_fit,minus20,T05,VR/AR Workforce Training,46.55,10
strategic_fit,minus20,T06,Additive Manufacturing (AM) for Nuclear Components,53.42,7
strategic_fit,minus20,T07,Smart Materials & Advanced Sensor Coatings,36.7,12
strategic_fit,minus20,T08,Advanced Sensor Technologies (Radiation & Structural),64.03,2
strategic_fit,minus20,T09,Medical Isotope Production,48.53,8
strategic_fit,minus20,T10,Nuclear Waste Management Technologies,30.99,14
strategic_fit,minus20,T11,Decommissioning Technologies,46.9,9
strategic_fit,minus20,T12,Small Modular Reactors (SMRs),62.55,3
strategic_fit,minus20,T13,"Advanced Fission (Generation IV, non-SMR)",37.96,11
strategic_fit,minus20,T14,Fusion Energy Technologies,35.37,13
strategic_fit,plus20,T01,AI/ML for Predictive Maintenance,78.0,1
strategic_fit,plus20,T02,Robotic Nuclear Inspection Systems,64.87,4
strategic_fit,plus20,T03,Inspection & Survey Drones (UAV/UUV),63.98,6
strategic_fit,plus20,T04,Digital Twins for Nuclear Plants,64.74,5
strategic_fit,plus20,T05,VR/AR Workforce Training,46.78,10
strategic_fit,plus20,T06,Additive Manufacturing (AM) for Nuclear Components,56.6,7
strategic_fit,plus20,T07,Smart Materials & Advanced Sensor Coatings,37.61,12
strategic_fit,plus20,T08,Advanced Sensor Technologies (Radiation & Structural),66.48,2
strategic_fit,plus20,T09,Medical Isotope Production,48.63,8
strategic_fit,plus20,T10,Nuclear Waste Management Technologies,32.29,14
strategic_fit,plus20,T11,Decommissioning Technologies,47.11,9
strategic_fit,plus20,T12,Small Modular Reactors (SMRs),65.1,3
strategic_fit,plus20,T13,"Advanced Fission (Generation IV, non-SMR)",38.78,11
strategic_fit,plus20,T14,Fusion Energy Technologies,32.96,13
technical_feasibility,minus20,T01,AI/ML for Predictive Maintenance,76.58,1
technical_feasibility,minus20,T02,Robotic Nuclear Inspection Systems,62.59,5
technical_feasibility,minus20,T03,Inspection & Survey Drones (UAV/UUV),61.65,6
technical_feasibility,minus20,T04,Digital Twins for Nuclear Plants,63.37,4
technical_feasibility,minus20,T05,VR/AR Workforce Training,45.21,10
technical_feasibility,minus20,T06,Additive Manufacturing (AM) for Nuclear Components,55.6,7
technical_feasibility,minus20,T07,Smart Materials & Advanced Sensor Coatings,37.26,12
technical_feasibility,minus20,T08,Advanced Sensor Technologies (Radiation & Structural),64.31,2
technical_feasibility,minus20,T09,Medical Isotope Production,48.09,8
technical_feasibility,minus20,T10,Nuclear Waste Management Technologies,30.68,14
technical_feasibility,minus20,T11,Decommissioning Technologies,46.47,9
technical_feasibility,minus20,T12,Small Modular Reactors (SMRs),63.75,3
technical_feasibility,minus20,T13,"Advanced Fission (Generation IV, non-SMR)",38.51,11
technical_feasibility,minus20,T14,Fusion Energy Technologies,35.1,13
technical_feasibility,plus20,T01,AI/ML for Predictive Maintenance,77.82,1
technical_feasibility,plus20,T02,Robotic Nuclear Inspection Systems,64.58,3
technical_feasibility,plus20,T03,Inspection & Survey Drones (UAV/UUV),63.68,5
technical_feasibility,plus20,T04,Digital Twins for Nuclear Plants,63.54,6
technical_feasibility,plus20,T05,VR/AR Workforce Training,48.12,9
technical_feasibility,plus20,T06,Additive Manufacturing (AM) for Nuclear Components,54.42,7
technical_feasibility,plus20,T07,Smart Materials & Advanced Sensor Coatings,37.05,12
technical_feasibility,plus20,T08,Advanced Sensor Technologies (Radiation & Structural),66.2,2
technical_feasibility,plus20,T09,Medical Isotope Production,49.08,8
technical_feasibility,plus20,T10,Nuclear Waste Management Technologies,32.59,14
technical_feasibility,plus20,T11,Decommissioning Technologies,47.54,10
technical_feasibility,plus20,T12,Small Modular Reactors (SMRs),63.9,4
technical_feasibility,plus20,T13,"Advanced Fission (Generation IV, non-SMR)",38.24,11
technical_feasibility,plus20,T14,Fusion Energy Technologies,33.23,13
timeline_years_numeric,minus20,T01,AI/ML for Predictive Maintenance,76.92,1
timeline_years_numeric,minus20,T02,Robotic Nuclear Inspection Systems,62.95,5
timeline_years_numeric,minus20,T03,Inspection & Survey Drones (UAV/UUV),62.02,6
timeline_years_numeric,minus20,T04,Digital Twins for Nuclear Plants,63.12,4
timeline_years_numeric,minus20,T05,VR/AR Workforce Training,45.74,10
